#San Francisco State University,,,,,,,,,,
#Synthetic test database for non-constant features having a unimodal distribution,,,,,,,,,,
#Sabiha Hussain Barlaskar,,,,,,,,,,
#11/07/2018,,,,,,,,,,
,,,,,,,,,,
"#The data set in synthetic test database consists of 1000 samples (feature vectors, each with 10 features fi, and class assignment (1 is positive class, 0 is negative).",,,,,,,,,,
" #In order to use this data for testing RFEX we created it in such a way that it has some easy to assess and obvious ground truth, namely only F1 and F2 have predictive power ",,,,,,,,,,
"#and can together perfectly classify the data, while F3-F10 have no predictive power. Class balance is about 50-50%. ",,,,,,,,,,
"#We created two features (F1, F2) with relevant data and the rest of the features contain data which is irrelevant for prediction. The reason behind this, is to observe if the RFEX pipeline will be able to identify the most important features.",,,,,,,,,,
#The target class consists of 0 and 1. (0 is the negative class and 1 is the positive class).,,,,,,,,,,
"#After creation of these two features and the target class on the basis of these features, we created features F3-F10 using an inbuilt Excel function to create 8 normal distribution for each feature",,,,,,,,,,
# having a different mean and standard deviation and ensuring there is one single mode for each feature and the features are independent of class creation. ,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,target
4,11,6.998413091,5.731318505,7.385383144,5.651656587,5.176994098,6.560084987,4.55806131,5.208900699,1
10,9,5.143475659,11.22634803,6.731967559,5.420411162,6.668188109,8.841918196,5.533894028,6.887000925,1
4,10,7.363034958,-2.55986719,8.733053106,2.979569967,5.606716229,4.39410656,6.157812491,5.354400719,1
8,7,6.328804352,5.955270245,10.74391778,2.616963051,5.778513205,6.794213359,0.899132099,6.043100811,1
5,3,7.596976763,1.594240937,10.40153255,4.080663419,5.454218502,4.53731076,6.440366182,5.529000742,1
3,1,9.935894366,-0.747929107,10.64674478,4.547523018,4.155133646,8.647989744,2.405925672,4.39410059,1
3,12,7.782770182,13.24929946,5.607008621,4.314429169,4.21667182,10.47050214,4.867325411,7.97340107,1
4,7,5.866596341,9.985312785,8.215580396,2.791182774,0.936311475,5.050304485,2.071275818,2.648100356,1
6,11,9.146332681,12.91550366,8.429398022,5.031266889,6.476878168,13.87837919,5.290151,8.215901103,1
6,3,8.558425475,11.09762505,4.578283586,5.476066851,4.250563314,7.908186167,4.142570849,6.993700939,1
2,10,5.011835926,3.451574934,4.652056752,3.447485109,5.613660063,3.864271977,4.831630576,5.58720075,1
3,10,4.533401827,5.820056284,6.625022369,2.44367883,1.891809679,6.249563529,4.592049212,4.733600635,1
2,10,6.385719299,3.565460473,8.764344437,4.324243998,7.613009158,6.659093831,5.543902611,8.400201128,1
1,19,3.32558858,13.54378986,5.53673486,5.114263241,4.270255505,5.527467765,6.093515088,5.81030078,1
2,5,6.894038602,6.729719049,9.990699111,5.952858948,4.690128895,6.440724223,6.403483638,6.7027009,1
1,13,9.60804025,12.08504532,9.998242971,5.663584084,9.143882575,9.281004816,7.371620629,4.083700548,1
10,3,11.02481443,7.95243181,9.324021373,2.858252172,4.900953546,8.391201677,8.025403756,7.653301027,1
1,6,6.183552603,8.008996827,8.115146365,5.342364469,7.290630341,7.937870445,2.834417882,7.197400966,1
3,3,13.65083841,15.87419415,7.831645478,7.159030822,8.713384874,9.838219058,7.658172432,7.352600987,1
1,13,9.360221489,11.63415466,6.888768845,5.491718519,4.702521816,7.423692209,5.958166938,6.78030091,1
1,19,7.271401128,9.045020634,6.661192466,4.379849462,5.963887958,11.60808208,7.318137244,3.239800435,1
6,7,7.337553641,12.59134311,7.069519724,5.758839301,5.070043726,11.63111935,3.204524635,5.102200685,1
1,14,7.447556628,5.862757207,6.533589016,5.194000098,5.966027875,5.332922356,7.98116687,5.102200685,1
2,8,7.219178559,5.591642156,9.390072645,4.008095665,5.005709883,7.765227271,6.747038604,6.169200828,1
2,4,9.152190793,10.84025292,8.461575059,2.439338517,6.157015601,7.872509923,5.256908434,5.499900738,1
2,8,7.704024199,10.40100066,6.270056587,4.428291037,5.038149426,8.39806806,5.426244486,4.054600544,1
6,14,6.835793069,9.393665084,10.42366601,4.497721066,6.792263586,1.60993146,6.271614378,4.345600583,1
2,5,7.875293033,12.59948576,7.516675712,5.266755808,6.985026217,9.717674552,5.974027368,2.560800344,1
2,3,6.346402239,14.64366968,10.13480936,5.349998716,7.014503456,7.402667163,3.701052751,7.333200984,1
6,3,5.669080809,10.42827746,7.501122916,4.531756843,9.655421101,5.140435877,7.48274906,3.589000482,1
1,4,9.027981148,17.68427864,11.76232313,4.028579645,5.588226776,13.72757739,2.223967681,5.218600701,1
2,3,5.345300878,15.47232491,5.264176176,2.550868338,8.199557677,9.005223934,5.787405239,5.558100746,1
3,8,7.494910194,7.15400076,9.756961207,5.312911138,8.081048357,6.713749118,4.540433847,6.188600831,1
6,11,6.078424508,12.19803344,7.219879146,4.038104487,8.17090912,5.404789768,5.446643928,6.33410085,1
1,4,13.01717317,14.16145603,6.35500736,4.903944829,8.496614987,6.989506455,3.67862174,8.031601078,1
8,20,10.53832616,3.810603019,6.444166211,4.582183781,6.075885163,8.810932448,3.286247526,5.548400745,1
2,13,13.66131236,14.18493233,9.221002192,4.17833977,8.358139347,14.31355278,3.363671806,1.008800135,1
2,14,3.854767473,3.739601259,4.036649481,4.997266489,5.518492938,7.739247574,4.027102918,3.821800513,1
4,12,10.48714569,16.73172592,6.249703241,3.696479232,5.473856576,6.476405545,1.276775956,4.09340055,1
2,7,9.168146054,15.74111948,6.446956456,4.812312543,10.38488745,6.946824094,5.940981849,7.391400992,1
5,3,12.31786762,7.438418972,6.324126736,5.636871247,4.594037181,6.015847666,7.555323976,9.515701277,1
6,6,7.522269639,11.11658943,7.426219447,5.788731243,7.135477925,8.582551121,4.600410964,3.763600505,1
3,8,10.28842909,6.830973792,11.75954232,5.561016821,1.742261665,7.885087263,4.238264476,3.938200529,1
1,5,7.67765975,18.93674368,8.595462697,4.47475041,6.862568587,5.424306127,4.696020352,8.060701082,1
3,6,6.947303268,6.880813549,5.798475249,6.728008509,4.909384827,9.79627846,5.298031954,4.219500566,1
4,5,8.465955612,7.634358196,7.479028681,1.753403272,5.329160299,10.56010876,4.955301635,3.637500488,1
4,4,5.931541907,1.82757438,4.378026838,3.404808506,5.686295793,9.194198891,1.392989223,4.074000547,1
1,13,8.338884618,12.92533727,9.987399342,4.969799312,6.846678701,5.30907815,6.646863603,7.81820105,1
9,5,0.487553914,16.14181514,5.277009752,4.037691939,9.520487972,10.41100485,9.167096099,6.499000873,1
5,1,9.904254672,6.984118559,7.359060475,4.460226943,9.438186007,10.18112269,6.394619413,7.663001029,1
2,1,4.734237937,13.20003519,7.955281201,3.882003838,8.366522541,9.47937492,3.973980132,5.247700705,1
8,19,5.209062967,10.57696791,4.105160752,4.533593581,4.752340436,8.486113437,9.103762755,8.293501113,1
1,6,9.115228753,13.09087374,7.876930967,4.44490222,6.58509698,12.50896018,4.730128454,8.34200112,1
5,8,7.34858691,4.025953287,6.459170739,3.0647826,6.483458526,5.018740638,7.480659854,1.474400198,1
4,8,8.386897589,5.692356184,9.771820227,4.421501476,9.207581829,5.798859553,2.202803691,4.432900595,1
1,5,8.074009625,15.02722429,8.54031191,3.21356268,6.884297487,5.694851736,2.801415715,5.994600805,1
2,10,7.45010005,-0.100453268,10.06077224,4.086020266,7.40306831,9.481468398,4.187432871,5.596900751,1
3,10,4.331023178,11.9849115,5.304018492,5.81594018,3.836969967,4.468497196,3.867597613,0.931200125,1
5,13,9.119461902,6.914330607,6.232490259,5.352813918,5.448920445,9.494053202,1.089329179,8.206201102,1
2,12,9.390507047,-2.784498933,4.801590056,3.260979988,9.171919449,9.170498728,2.669625767,5.713300767,1
4,2,6.850994723,-0.110035941,5.074300954,4.579185836,7.94030367,7.087175357,5.616343042,2.444400328,1
5,12,5.553378674,13.21773361,8.657241329,4.472785108,7.21352624,9.234396885,3.484082697,6.916100928,1
6,12,10.07252674,10.55956545,7.677959466,6.782915862,7.253530611,13.47641194,6.385596564,4.4717006,1
1,12,5.358123962,-0.503518933,7.334163829,1.693796916,7.071056479,6.009314077,5.852123341,7.75030104,1
5,8,7.45399172,22.9518364,8.914342817,5.309180172,6.047276121,9.95033271,5.047235084,3.715100499,1
5,11,6.641580453,9.099156362,7.64345453,4.855399642,5.186960381,10.04967673,7.669488925,6.062500814,1
6,1,9.288169651,12.0862165,5.043600851,3.717694181,4.324490389,8.248917832,5.908662454,7.333200984,1
1,7,5.773590712,5.919210577,9.714104922,5.98908052,8.433418179,12.97180114,5.146905148,6.770600909,1
3,2,6.08519519,4.682787992,6.854852406,5.265675313,7.414302029,13.94567345,8.031233927,4.937300663,1
5,3,7.673196987,6.567317102,7.522951951,3.109653841,6.891738477,3.214952207,3.908797981,6.440800865,1
4,9,6.403499701,13.11362407,5.624354945,4.642611921,6.838581221,5.521628078,3.5879962,5.150700691,1
2,1,7.525778619,12.10862802,2.470130187,4.195572777,5.082293922,8.020435628,4.686716216,4.675400628,1
4,1,4.388415017,8.380047348,6.140402117,6.09791928,7.366153096,10.81279743,4.883625752,8.099501087,1
2,2,8.699920967,11.99470059,8.907561757,2.672366503,9.18841827,-2.01026437,3.701295613,4.132200555,1
4,12,9.111566697,8.062028505,4.646022865,5.453446833,6.452951214,7.444424474,7.540531056,9.418701264,1
3,14,6.70584895,6.068771013,9.693820356,3.60622138,5.753739688,8.317104977,4.21028458,7.546601013,1
2,6,6.162174908,13.55053156,4.805335787,4.848641827,8.764505687,6.301040932,2.198983414,7.187700965,1
1,13,8.424042143,7.255137162,6.067817841,2.023221586,8.678577628,7.080053051,3.19443674,1.513200203,1
5,10,6.206213783,6.726839745,8.344761355,3.512705761,6.133690016,7.08659018,5.546879028,5.06340068,1
2,9,3.629639331,16.79318857,4.601466893,2.224397538,5.047593904,1.393480278,1.665512655,5.752100772,1
6,13,4.175945108,5.265906377,8.329965654,4.374900272,8.799981275,11.00781498,5.013247182,4.190400563,1
4,14,5.906001714,13.34274752,5.098385135,4.408416726,8.652725212,7.34612092,7.651700376,7.604801021,1
4,1,8.017459706,9.318332368,7.157678641,4.621215342,4.390931668,13.78618102,4.834203044,6.014000807,1
2,13,6.391671612,8.543086892,5.534762298,4.165087594,3.875680716,3.305356758,7.521920322,7.362300988,1
2,6,7.691854633,10.19324019,8.61380325,4.666206303,6.653673152,3.377988324,7.168859246,6.392300858,1
2,1,10.20026303,8.540878791,7.721520451,5.76845733,7.655023312,3.39738811,5.29465405,6.605700887,1
2,4,2.026783245,-3.584654759,6.357271182,3.490240841,4.979082429,2.496342035,5.55152149,5.907300793,1
1,13,8.717719031,13.87763498,11.32476302,4.598902208,6.984504885,12.46654706,5.780168635,7.304100981,1
4,13,7.708746015,8.234537617,5.364907687,2.54576815,6.09257654,8.012591565,2.535563851,6.896700926,1
1,14,13.16863628,11.18005376,5.918957955,4.104583955,7.752970235,5.934761316,2.682026519,6.518400875,1
